"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Roofers","MANGUESH PARAB & SONS","0","0","Yes (No Reviews)","+91 72497 70802","N/A","halan wada, Hno 35, near shri krishna temple Ecoxim, Bardez, Panaji, Kudchaden, Goa 403101, India","https://www.google.com/maps/place/15.220007599999999,74.1230861"
"Plumbers","Quick plumber","3.6","15","Yes (Low Rating/Reviews)","+91 87671 17553","N/A","villa no, co-operative society, Shah Harmony, D3, Merces, mollaca, Panaji, Goa 403005, India","https://www.google.com/maps/place/15.4779989,73.8516467"
"Bata store","Bata Shoe Store","3.8","1084","Yes (Low Rating/Reviews)","+91 87881 50067","https://stores.bata.com/bata-shoes-sandals-store-in-pajifond-madgaon","No. 15/82, Elvina Building, Isidorio Baptista Rd, opp. IDBI Bank, Pajifond, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2724607,73.9614586"
"Nike store","NIKE","3.8","5","Yes (Low Rating/Reviews)","N/A","https://www.nike.com/in/","C223+GX3, Khadpabandh, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.4012663,74.0049205"
"Nike store","Nike","3.9","130","Yes (Low Rating/Reviews)","+91 832 226 6660","https://www.nike.com/in/","Shop No. G-1/G-2, Morod, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.585128,73.8118389"
"Bata store","Bata Shoe Store","3.9","299","Yes (Low Rating/Reviews)","+91 87880 27024","https://stores.bata.com/bata-shoes-sandals-store-in-gogol-south-goa","Gogol Housing Board, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.281743299999999,73.98198219999999"
"Bata store","Bata Shoe Store","4","268","Yes (Low Rating/Reviews)","+91 95941 66270","https://stores.bata.com/bata-shoes-sandals-store-in-vaddem-south-goa","No. 1, Damodar Chambers, Fr José Vaz Rd, near YES Bank, Vaddem, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.396927799999998,73.80943959999999"
"Nike store","Nike Store","4.1","69","Yes (Low Rating/Reviews)","+91 80091 90566","N/A","Ground Floor-8, Mall De Goa, Survey No 73/1, Nova Cidate Complex, NH 66, Porvorim, Goa Velha, Goa 403521, India","https://www.google.com/maps/place/15.525758999999999,73.82704919999999"
"Bata store","Bata","4.1","574","Yes (Low Rating/Reviews)","+91 98343 78391","https://www.bata.in/","6, Cozy Nook Municipal Building, 18th June Rd, Altinho, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4980491,73.82656159999999"
"Restaurants","Fat Fish","4.1","34660","Yes (Low Rating/Reviews)","+91 88061 77550","http://www.fatfishgoa.com/","Calangute - Arpora Rd, Agar Vaddo, Bardez, Khobra Waddo, Arpora, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.55654,73.7636819"
"Bata store","Bata","4.1","1307","Yes (Low Rating/Reviews)","N/A","http://bata.in/","Shop No: 1 & 2 H.No. 817-C, Shrishti Building, Chogm Rd, Porvorim, Mapusa, Sangolda, Goa 403521, India","https://www.google.com/maps/place/15.5321296,73.8240836"
"Roofers","Shilsons Agencies - Cement, Roofing & Building Materials Provider in Goa, India","4.1","16","Yes (Low Rating/Reviews)","+91 98222 68115","N/A","Shop No.7 & 8, Kossambe Building, behind Hotel La Paz Building, Vasco, Vaddem, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.398294499999999,73.81434589999999"
"Bata store","Bata Shoe Store","4.1","219","Yes (Low Rating/Reviews)","+91 83901 84456","https://stores.bata.com/bata-shoes-sandals-store-in-borden-north-goa","No. 06, Ahilya Building, near Max Showroom, Shantaram Nagar, Borden, Dicholi, Goa 403504, India","https://www.google.com/maps/place/15.5967533,73.94217739999999"
"Bata store","Bata Shoe Store","4.1","492","Yes (Low Rating/Reviews)","+91 91685 20860","https://stores.bata.com/bata-shoes-sandals-store-in-khadpabandh-south-goa","G1-G1A, Vivek Building, No, Sadar Road, opp. SBI Bank, Sadar, Khadpabandh, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.398483899999999,74.0033234"
"Nike store","NIKE Margao, Goa","4.1","346","Yes (Low Rating/Reviews)","+91 832 270 1800","https://rjcorpretail.com/goa/","Chalta No. 147-152, Isidore, Isidorio Baptista Rd, opp. Big G, near Pajifond, Monte Hill, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.272379899999999,73.96266229999999"
"Bata store","Bata Shoe Store","4.1","55","Yes (Low Rating/Reviews)","+91 87881 52339","https://stores.bata.com/bata-shoes-sandals-store-in-siolim-siolim","No. 557/5-A, Main Road, near Shri Swami Samarth Temple, Siolim, Goa 403517, India","https://www.google.com/maps/place/15.629586199999999,73.7601813"
"Restaurants","Fish ka Bar 'n' Restaurant","4.2","3380","Yes (Low Rating/Reviews)","+91 96653 24240","N/A","Pockvaddo, Betalbatim, Goa 403713, India","https://www.google.com/maps/place/15.2989027,73.9189627"
"Bata store","Bata Shoe Store","4.2","262","Yes (Low Rating/Reviews)","+91 95528 27608","https://stores.bata.com/bata-shoes-sandals-store-in-sanscar-society-madgaon","No. 1E&1F, Sitara Atrium, Main Road, Sanscar Society, Navelim, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2619416,73.9631605"
"Bata store","Bata Store","4.2","212","Yes (Low Rating/Reviews)","+91 96373 47919","https://stores.bata.com/bata-shoes-sandals-store-in-morod-mapusa","No. 1/2, Khalap Building, Market Rd, opposite Municipal Market, Morod, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.589056999999999,73.8127502"
"Auto Repair","Genesis Auto Workshop","4.3","13","Yes (Low Rating/Reviews)","+91 98221 43232","N/A","Rodrigues ward, Cavelossim, Goa 403731, India","https://www.google.com/maps/place/15.1789472,73.9480476"
"Bata store","Bata Shoe Store","4.3","81","Yes (Low Rating/Reviews)","+91 78758 66590","https://stores.bata.com/bata-shoes-sandals-store-in-sanscar-society-south-goa","No. 240, Katkar Building, Old Station Rd, Sanscar Society, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.269421999999999,73.96215769999999"
"Bata store","Bata Shoe Store","4.3","26","Yes (Low Rating/Reviews)","+91 95292 33945","https://stores.bata.com/bata-shoes-sandals-store-in-bepquegal-south-goa","H. No. 2338, Dr. Shantadas Palacio, S. No. 4, Main Road, near KTC Bus Stand, BEPQUEGAL, Vodlemol Cacora, Hodar, Goa 403706, India","https://www.google.com/maps/place/15.2607424,74.10656"
"Plumbers","Plumbing A toZ","4.3","37","Yes (Low Rating/Reviews)","+91 90111 77687","N/A","N/A","https://www.google.com/maps/place/15.605178299999999,73.8861754"
"Dentists","Palolem Dental Clinic","4.4","48","Yes (Low Rating/Reviews)","+91 92095 13972","http://www.goadentalclinics.com/","Palolem, Canacona, Goa 403702, India","https://www.google.com/maps/place/15.0110476,74.0258688"
"Auto Repair","Gulf Carstop - Wheel Point","4.4","26","Yes (Low Rating/Reviews)","+91 82914 32625","https://carstop.india.gulfoilltd.com/gulf-carstop-wheel-point-car-service-station-vodlemol-cacora-south-goa-318376/Home?utm_source=locator&utm_medium=googleplaces","Ground Floor, near Bansai Enterprises, BANSAI, Kakoda, Vodlemol Cacora, Kudchaden, Goa 403706, India","https://www.google.com/maps/place/15.2562552,74.1034262"
"Plumbers","Plumbing Work","4.5","21","Yes (Low Rating/Reviews)","+91 74480 00738","N/A","near, masjid carriamoddi, Pontemol, Kakoda, Vodlemol Cacora, Hodar, Goa 403706, India","https://www.google.com/maps/place/15.2550394,74.1196104"
"Auto Repair","Nalini Auto Service","4.5","15","Yes (Low Rating/Reviews)","+91 93595 05900","N/A","Sanguem Rd, near civil court, Kharkate Ghati, Sanguem, Kotarli, Goa 403706, India","https://www.google.com/maps/place/15.2295383,74.1338999"
"Roofers","Finishing Touch","4.5","40","Yes (Low Rating/Reviews)","+91 95779 11911","http://www.finishingtouch.co.in/","Building No.B, Jairam Complex, G-1&2, Rua de Ourém, near Goa Handicraft, Neugi Nagar, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.490566,73.83308939999999"
"Plumbers","Sakali Plumbing Service","4.6","11","Yes (Low Rating/Reviews)","+91 91721 91675","https://wa.me/message/ITLRUDQCJJ3WH1","Gauliwaddo, Fatorda, Madgaon, Goa 403602, India","https://www.google.com/maps/place/15.2934647,73.9653715"
"Plumbers","Plumber I M D","4.7","15","Yes (Low Rating/Reviews)","+91 91087 70021","N/A","H.N.261,Ekta Nagar, opp. Housing water tank, Bardez, Khorlim, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.6004401,73.805881"
"Roofers","M/s.COMPANY 1317","4.7","19","Yes (Low Rating/Reviews)","+91 95798 60709","N/A","333, near Carmelite Monastery, Aquem, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.270834899999999,73.96661209999999"
"Plumbers","Goa Electrician & Plumbing Service","4.7","30","Yes (Low Rating/Reviews)","N/A","N/A","Vaishay Building, Market Rd, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.589603599999998,73.8113127"
"Plumbers","Vishal Plumbing Contractor","4.8","4","Yes (Low Rating/Reviews)","+91 98238 46252","https://vishalplumbingcontractor.co.in/","House no. EHN, I-R-32, Raint Wado, Moide, Mapusa, Goa 403508, India","https://www.google.com/maps/place/15.599726599999999,73.8481017"
"Plumbers","Om Sai Plumbing Works","4.8","9","Yes (Low Rating/Reviews)","+91 94033 69772","N/A","Shop 1 & 2, Mahadev Hardware, Near St. Anthony Chapel, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.536695799999999,73.7640315"
"Dentists","Kenkre Dental Care","4.8","40","Yes (Low Rating/Reviews)","+91 98907 01377","N/A","1st Floor, Edcon Towers, F5, Ozari, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.498000999999999,73.8251071"
"Dentists","Goa Dental Studio","4.8","46","Yes (Low Rating/Reviews)","+91 98909 37848","http://www.goadentalstudio.com/","186, Calangute Candolim Sinquerim Rd, Gauravaddo, Calangute, Goa 403515, India","https://www.google.com/maps/place/15.530186899999999,73.76432489999999"
"Plumbers","Maak Elctrician&plumbing Service","4.8","21","Yes (Low Rating/Reviews)","+91 81780 80910","N/A","HRM6+Q47, Morod, Ghateshwar Nagar, Sonar Vaddo, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.584425,73.810294"
"Plumbers","Flo Star plumbing service","4.8","4","Yes (Low Rating/Reviews)","+91 77986 87294","http://aqip94.wixsite.com/flostar","Vathadev, Sarvan, Goa 403529, India","https://www.google.com/maps/place/15.589033299999999,73.96005079999999"
"Auto Repair","Mobil Delux Auto repair","4.8","18","Yes (Low Rating/Reviews)","N/A","N/A","Madgaon, Belgaum bypass, bondbag, Talewada, Betora, Goa 403409, India","https://www.google.com/maps/place/15.385444099999999,74.01716329999999"
"Roofers","Skyline Roof & Co.","4.9","20","Yes (Low Rating/Reviews)","+91 93222 20513","http://www.skylineroof.co/","S -1, Dominics Rivera, Porvorim, Sangolda, Goa 403511, India","https://www.google.com/maps/place/15.5453055,73.8146502"
"Roofers","Goa Roofing Contractors","4.9","25","Yes (Low Rating/Reviews)","+91 92091 82242","https://www.goaroofingcontractors.in/","Maganlal Sadan, Dr Dada Vaidya Rd, Altinho, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4955351,73.8256334"
"Plumbers","Manoj plumbing service","4.9","26","Yes (Low Rating/Reviews)","+91 81780 80910","N/A","Vaishay Building, Market Rd, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.5896034,73.8113127"
"Plumbers","Abhilash kalal plumbing service","4.9","39","Yes (Low Rating/Reviews)","+91 79726 28339","N/A","Ganesh nagar gotnichowal, near Ganesh temple, colvale, Mapusa, Goa 403526, India","https://www.google.com/maps/place/15.620930099999999,73.8196861"
"Plumbers","Ramkeval Plumber Electrician Goa","4.9","45","Yes (Low Rating/Reviews)","+91 95804 74969","https://plumberelectriciangoa.in/","N/A","https://www.google.com/maps/place/15.5937191,73.79104199999999"
