"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Roofers","MANGUESH PARAB & SONS","0","0","Yes (No Reviews)","072497 70802","N/A","halan wada, Hno 35, near shri krishna temple Ecoxim, Bardez, Panaji, Kudchaden, Goa 403101, India","https://www.google.com/maps/place/15.2200076,74.1230861"
"Plumbers","Quick plumber","3.6","15","Yes (Low Rating/Reviews)","087671 17553","N/A","villa no, co-operative society, Shah Harmony, D3, Merces, mollaca, Panaji, Goa 403005, India","https://www.google.com/maps/place/15.4779989,73.8516467"
"Nike store","NIKE","3.8","5","Yes (Low Rating/Reviews)","N/A","https://www.nike.com/in/","C223+GX3, Khadpabandh, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.4012663,74.0049205"
"Bata store","Bata Shoe Store","3.8","1084","Yes (Low Rating/Reviews)","087881 50067","https://stores.bata.com/bata-shoes-sandals-store-in-pajifond-madgaon","No. 15/82, Elvina Building, Isidorio Baptista Rd, opp. IDBI Bank, Pajifond, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2724607,73.9614586"
"Nike store","Nike","3.9","130","Yes (Low Rating/Reviews)","0832 226 6660","https://www.nike.com/in/","Shop No. G-1/G-2, Morod, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.585128,73.8118389"
"Auto Repair","Castrol Auto Service - Sandeep Auto Garage","3.9","146","Yes (Low Rating/Reviews)","075071 28191","https://www.castrolautoservice.in/castrol-auto-service-sandeep-auto-garage-vehicle-repair-saligao-north-goa-333969/Home?utm_source=locator&utm_medium=googleplaces","Ground Floor, near Calangute - Mapusa Road, Bardez, Nagva, Saligao, Goa 403516, India","https://www.google.com/maps/place/15.5569689,73.7748422"
"Bata store","Bata Shoe Store","3.9","299","Yes (Low Rating/Reviews)","087880 27024","https://stores.bata.com/bata-shoes-sandals-store-in-gogol-south-goa","Gogol Housing Board, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2817433,73.98198219999999"
"Bata store","Bata Shoe Store","4.0","268","Yes (Low Rating/Reviews)","095941 66270","https://stores.bata.com/bata-shoes-sandals-store-in-vaddem-south-goa","No. 1, Damodar Chambers, Fr José Vaz Rd, near YES Bank, Vaddem, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.3969278,73.80943959999999"
"Bata store","Bata","4.1","574","Yes (Low Rating/Reviews)","098343 78391","https://www.bata.in/","6, Cozy Nook Municipal Building, 18th June Rd, Altinho, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4980491,73.82656159999999"
"Nike store","Nike Store","4.1","69","Yes (Low Rating/Reviews)","080091 90566","N/A","Ground Floor-8, Mall De Goa, Survey No 73/1, Nova Cidate Complex, NH 66, Porvorim, Goa Velha, Goa 403521, India","https://www.google.com/maps/place/15.525759,73.82704919999999"
"Roofers","SHREERAM MARKETING SERVICES | roof & steel supplier in Goa","4.1","19","Yes (Low Rating/Reviews)","094224 38929","N/A","Plot no 4/2, Panjim - Bambolim service road, 2nd underpass, near After, Cujira-Jin, Santa Cruz, Goa 403005, India","https://www.google.com/maps/place/15.4700163,73.8512995"
"Roofers","Shilsons Agencies - Cement, Roofing & Building Materials Provider in Goa, India","4.1","16","Yes (Low Rating/Reviews)","098222 68115","N/A","Shop No.7 & 8, Kossambe Building, behind Hotel La Paz Building, Vasco, Vaddem, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.3982945,73.81434589999999"
"Nike store","NIKE Margao, Goa","4.1","346","Yes (Low Rating/Reviews)","0832 270 1800","https://rjcorpretail.com/goa/","Chalta No. 147-152, Isidore, Isidorio Baptista Rd, opp. Big G, near Pajifond, Monte Hill, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2723799,73.96266229999999"
"Restaurants","Fat Fish","4.1","34660","Yes (Low Rating/Reviews)","088061 77550","http://www.fatfishgoa.com/","Calangute - Arpora Rd, Agar Vaddo, Bardez, Khobra Waddo, Arpora, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.55654,73.7636819"
"Bata store","Bata Shoe Store","4.1","219","Yes (Low Rating/Reviews)","083901 84456","https://stores.bata.com/bata-shoes-sandals-store-in-borden-north-goa","No. 06, Ahilya Building, near Max Showroom, Shantaram Nagar, Borden, Dicholi, Goa 403504, India","https://www.google.com/maps/place/15.5967533,73.94217739999999"
"Bata store","Bata Shoe Store","4.1","492","Yes (Low Rating/Reviews)","091685 20860","https://stores.bata.com/bata-shoes-sandals-store-in-khadpabandh-south-goa","G1-G1A, Vivek Building, No, Sadar Road, opp. SBI Bank, Sadar, Khadpabandh, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.3984839,74.0033234"
"Bata store","Bata","4.1","1307","Yes (Low Rating/Reviews)","N/A","http://bata.in/","Shop No: 1 & 2 H.No. 817-C, Shrishti Building, Chogm Rd, Porvorim, Mapusa, Sangolda, Goa 403521, India","https://www.google.com/maps/place/15.5321296,73.8240836"
"Bata store","Bata Shoe Store","4.1","55","Yes (Low Rating/Reviews)","087881 52339","https://stores.bata.com/bata-shoes-sandals-store-in-siolim-siolim","No. 557/5-A, Main Road, near Shri Swami Samarth Temple, Siolim, Goa 403517, India","https://www.google.com/maps/place/15.6295862,73.7601813"
"Bata store","Bata Store","4.2","212","Yes (Low Rating/Reviews)","096373 47919","https://stores.bata.com/bata-shoes-sandals-store-in-morod-mapusa","No. 1/2, Khalap Building, Market Rd, opposite Municipal Market, Morod, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.589057,73.8127502"
"Restaurants","Fish ka Bar 'n' Restaurant","4.2","3380","Yes (Low Rating/Reviews)","096653 24240","N/A","Pockvaddo, Betalbatim, Goa 403713, India","https://www.google.com/maps/place/15.2989027,73.9189627"
"Bata store","Bata Shoe Store","4.2","262","Yes (Low Rating/Reviews)","095528 27608","https://stores.bata.com/bata-shoes-sandals-store-in-sanscar-society-madgaon","No. 1E&1F, Sitara Atrium, Main Road, Sanscar Society, Navelim, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2619416,73.9631605"
"Bata store","Bata Shoe Store","4.3","26","Yes (Low Rating/Reviews)","095292 33945","https://stores.bata.com/bata-shoes-sandals-store-in-bepquegal-south-goa","H. No. 2338, Dr. Shantadas Palacio, S. No. 4, Main Road, near KTC Bus Stand, BEPQUEGAL, Vodlemol Cacora, Hodar, Goa 403706, India","https://www.google.com/maps/place/15.2607424,74.10656"
"Auto Repair","Car Care Automotive Goa","4.3","18","Yes (Low Rating/Reviews)","098608 30298","https://carcaregoa.in/","Shop no.- 78u, sh1, Upasnagar, NH14 highway, next to quenny hotel, near Kia Showroom, Sancoale, Consua, Goa 403726, India","https://www.google.com/maps/place/15.3721643,73.89194119999999"
"Auto Repair","National Garage auto repair","4.3","54","Yes (Low Rating/Reviews)","081739 02994","https://www.carnoscar.com/national-auto-repair.php","Anjuna Mapusa Rd, Ghateshwar Nagar, Khorlim, Mapusa, Anjuna, Goa 403509, India","https://www.google.com/maps/place/15.5850307,73.74573409999999"
"Plumbers","Plumbing A toZ","4.3","37","Yes (Low Rating/Reviews)","090111 77687","N/A","N/A","https://www.google.com/maps/place/15.6051783,73.8861754"
"Bata store","Bata Shoe Store","4.3","81","Yes (Low Rating/Reviews)","078758 66590","https://stores.bata.com/bata-shoes-sandals-store-in-sanscar-society-south-goa","No. 240, Katkar Building, Old Station Rd, Sanscar Society, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.269422,73.96215769999999"
"Dentists","Palolem Dental Clinic","4.4","48","Yes (Low Rating/Reviews)","092095 13972","http://www.goadentalclinics.com/","Palolem, Canacona, Goa 403702, India","https://www.google.com/maps/place/15.0110476,74.0258688"
"Roofers","Finishing Touch","4.5","40","Yes (Low Rating/Reviews)","095779 11911","http://www.finishingtouch.co.in/","Building No.B, Jairam Complex, G-1&2, Rua de Ourém, near Goa Handicraft, Neugi Nagar, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.490566,73.83308939999999"
"Auto Repair","Hindustan auto care","4.6","39","Yes (Low Rating/Reviews)","075586 96454","N/A","near salunkhe complex, upper harvallem, Dongurvada, Harvale, Goa 403505, India","https://www.google.com/maps/place/15.5556026,74.0247593"
"Plumbers","G. K. Plumbing & pools","4.6","30","Yes (Low Rating/Reviews)","098505 98326","https://g-k-plumbing-pools.grexa.site/","Shop No 79, B, Jackny, near Ganpati Temple, Sateri Nagar Colony, Parra, Mapusa, Goa 403510, India","https://www.google.com/maps/place/15.5728035,73.7922296"
"Plumbers","Sakali Plumbing Service","4.6","11","Yes (Low Rating/Reviews)","091721 91675","https://wa.me/message/ITLRUDQCJJ3WH1","Gauliwaddo, Fatorda, Madgaon, Goa 403602, India","https://www.google.com/maps/place/15.2934647,73.9653715"
"Roofers","M/s.COMPANY 1317","4.7","19","Yes (Low Rating/Reviews)","095798 60709","N/A","333, near Carmelite Monastery, Aquem, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2708349,73.96661209999999"
"Plumbers","Goa Electrician & Plumbing Service","4.7","30","Yes (Low Rating/Reviews)","N/A","N/A","Vaishay Building, Market Rd, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.5896036,73.8113127"
"Plumbers","Plumber I M D","4.7","15","Yes (Low Rating/Reviews)","091087 70021","N/A","H.N.261,Ekta Nagar, opp. Housing water tank, Bardez, Khorlim, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.6004401,73.805881"
"Plumbers","Flo Star plumbing service","4.8","4","Yes (Low Rating/Reviews)","077986 87294","http://aqip94.wixsite.com/flostar","Vathadev, Sarvan, Goa 403529, India","https://www.google.com/maps/place/15.5890333,73.96005079999999"
"Plumbers","Om Sai Plumbing Works","4.8","9","Yes (Low Rating/Reviews)","094033 69772","N/A","Shop 1 & 2, Mahadev Hardware, Near St. Anthony Chapel, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5366958,73.7640315"
"Plumbers","Vishal Plumbing Contractor","4.8","4","Yes (Low Rating/Reviews)","098238 46252","https://vishalplumbingcontractor.co.in/","House no. EHN, I-R-32, Raint Wado, Moide, Mapusa, Goa 403508, India","https://www.google.com/maps/place/15.5997266,73.8481017"
"Plumbers","Maak Elctrician&plumbing Service","4.8","21","Yes (Low Rating/Reviews)","081780 80910","N/A","HRM6+Q47, Morod, Ghateshwar Nagar, Sonar Vaddo, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.584425,73.810294"
"Auto Repair","CHARI AUTOMOBILES AND CAR TOWING SERVICE 24X7","4.8","34","Yes (Low Rating/Reviews)","075071 31161","N/A","Baherilwada Keri, near Hanuman tample, Bayalvada, Goa 403505, India","https://www.google.com/maps/place/15.6151278,74.06517629999999"
"Auto Repair","MAHALAXMI AUTOMOBILE CAR GARAGE","4.8","35","Yes (Low Rating/Reviews)","079726 90151","N/A","Magnavista Apartments, Filomena Housing Colony, Street-1, Lane-5, Cabesa Ward, Bambolim, Goa 403202, India","https://www.google.com/maps/place/15.4617388,73.8523507"
"Dentists","Kenkre Dental Care","4.8","40","Yes (Low Rating/Reviews)","098907 01377","N/A","1st Floor, Edcon Towers, F5, Ozari, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.498001,73.8251071"
"Dentists","Goa Dental Studio","4.8","46","Yes (Low Rating/Reviews)","098909 37848","http://www.goadentalstudio.com/","186, Calangute Candolim Sinquerim Rd, Gauravaddo, Calangute, Goa 403515, India","https://www.google.com/maps/place/15.5301869,73.76432489999999"
"Roofers","Square Feet Goa","4.9","30","Yes (Low Rating/Reviews)","070666 21567","https://www.facebook.com/squarefeetgoa/","Bella Vista, Vaddo, Sangolda, Goa 403511, India","https://www.google.com/maps/place/15.5447453,73.8117149"
"Roofers","Skyline Roof & Co.","4.9","20","Yes (Low Rating/Reviews)","093222 20513","http://www.skylineroof.co/","S -1, Dominics Rivera, Porvorim, Sangolda, Goa 403511, India","https://www.google.com/maps/place/15.5453055,73.8146502"
"Roofers","Goa Roofing Contractors","4.9","25","Yes (Low Rating/Reviews)","092091 82242","https://www.goaroofingcontractors.in/","Maganlal Sadan, Dr Dada Vaidya Rd, Altinho, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4955351,73.8256334"
"Plumbers","Manoj plumbing service","4.9","26","Yes (Low Rating/Reviews)","081780 80910","N/A","Vaishay Building, Market Rd, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.5896034,73.8113127"
"Plumbers","Ramkeval Plumber Electrician Goa","4.9","45","Yes (Low Rating/Reviews)","095804 74969","https://plumberelectriciangoa.in/","N/A","https://www.google.com/maps/place/15.5937191,73.79104199999999"
